,id,weibo_content,tag_wxr,tag_ljn,tag_gsy,ans
1,94793672813,作为ADHD这节课我能上到还剩十分钟下课已经很不容易了 遂开摆 下节课还是专业核心啊呃呃呃呃呃 ​,1,1,1,1
2,93197786462,躺着挺好我为什么要尝试运动呢 腿疼手疼脖子疼腰疼屁股胳膊疼 而且我也没有奥运冠军的心态还好像有ADHD ​,0,1,1,1
6,94942424574,怎么会有我这种吃着香香饭看着下饭综艺笑得想死的时候还是克制不住玩手机的人 已赛博确诊adhd ​​​,1,1,1,1
13,93514194056,好b溃！我的人生就是巨大的adhd四个字！ ​,1,1,1,1
17,96272986453,"【ADHD吃药日记】
Day82，241019
很多天没吃药了，今天开始继续吃[爱你] ​​​",1,1,1,1
18,92409035360,周四的时候因为想要增长一下经验去咨询了一个叔叔 聊到最后我说我很害怕去de抑郁焦虑过度之类的 然后他就开始分析我 觉得我可能是adhd并开始分析我之前是不是会这样做 除了有寻麻疹基本上都大差不差 他告诉我这不是我的问题 做不完一件事情 总是容易忘记这不是因为我自控力不足的原因 是大脑是神经是大 ​,1,1,0,1
20,94220314655,精神障碍太容易收到忽视了，身体残疾的人大家都来帮，先天精神障碍的人却处处受阻，还被歧视。凭什么我有adhd啊，和你们这帮健人拼了。 ​,1,1,1,1
22,93876223144,面对我产品总有种无能为力无可奈何的痛苦，只要喜欢他们一天，就会萌生想要变强做出更好吃的饭的念头，但是身体对于自我提升抗拒到一种有病的地步（你ADHD吧 不太能描述这种感觉，就是身体本能地在告诉我“停止”“这样没用”“别搞了”然后不断散发厌烦情绪，如果外部再有一个压力逼迫我去学什么的话 ​,1,1,1,1
24,95152520071,"确诊adhd，还有一些阿斯的倾向，但是因为症状对生活没有困扰，程度属于可以控制的，再加上可能还有一些性格方面的原因，所以就没有确诊这个。
挺感慨的，如果小时候就能知道这些就好了，感觉浪费了好多时间 ​​​",1,1,1,1
27,96598936219,明天去看腰 我顺便想去确诊一下adhd 但是美国这里确诊好像很贵 烙铁最近的症状真的有点严重 说不定还能确诊一个焦虑症抑郁症。 [开学季][开学季][开学季] 谁说上学不好的 上学可太棒了👏🏻 ​,1,1,1,1
