Term,Definition
-D Television,"Television pro- grams that have been filmed using technol-ogy that creates the illusion of depth, which is the third dimension—the other two being width and height."
A Account executive,A person who acts as a liaison between the client and theagency.
Account management,People and processes at an ad agency that facilitate therelationship between the agency and the client.
Account planner,"The person re- sponsible for the strategy and its imple- mentation in the creative work. Account planning (pp. 25, 210) A process of using research to gain information about the brand in its marketplace, the consu-mer’s perspective, or both, and to use thatresearch to contribute directly to advertis-ing development."
Account services,"The account man- agement function of an agency, which acts asa liaison between the client and the agency."
Acquired needs,"A driving force learned from culture, society, and theenvironment."
Active publics,Those people who communicate and organize to do some-thing about an issue or situation.
Ad allowances,"In cooperative  advertising, funds are provided by manu-facturers to retailers who feature the man- ufacturers’ products in the retailers’ local advertising."
Adaptation,See Localization.
Added value,"A marketing activity, such as advertising, makes a product moreappealing or useful."
Addressable media,"Media, such as mail, the Internet, and the telephone,that carry messages to identifiable cus- tomers or prospects."
Addressable television,"Television technology that permits the signal to bepersonalized to a home.Adese (p. 265) Formula writing that uses clichés, generalities, stock phrases, andsuperlatives."
Adoption,The willingness to try new products.
Adoption process,Buying behav- ior that reflects the speed with which peo-ple are willing to try something new.
Advertainment,"A form of persua- sive advertising in which the commercialslook like TV shows or short films, and pro-vide entertainment as opposed to high lev- els of information."
Advertisement,"A notice about a product (good, service, or idea) that is designed to get the attention of a target audience."
Advertiser,A person or organiza- tion that initiates the advertising process.
Advertising,Paid nonpersonal com- munication from an identified sponsor us-ing mass media to persuade or influence anaudience.
Advertising agency,An organiza- tion that provides a variety of professionalservices to its client who is the advertiserof a product.
Advertising department,A depart- ment within the company that acts as afacilitator between outside vendors and in- ternal advertising management.
Advertising plan,"A plan that pro- poses strategies for targeting the audience,presenting the advertising message, andimplementing media."
Advertising research,The process of gathering information about consumers and the marketplace in order to makesound strategic planning decisions.
Advocacy,A type of advertising that communicates a viewpoint.
Advocacy advertising,"A type of corporate advertising that involves creat-ing advertisements and purchasing space to deliver a specific, targeted message."
Affective response,A response caused by or expressing feelings andemotions.Affiliates (p. 370) A station that contracts with a national network to carry network- originated programming during part of its schedule.
Agency networks,Large conglomer- ations of agencies under a central ownership. Agency-of-record (AOR) (p. 20) An ad- vertising agency that manages the business between a company and the agencies it hascontracts with.
AIDA,"A hierarchy of effects iden- tified as Attention, Interest, Desire, andAction. Aided recognition (recall) (pp. 174, 589) When one can remember an idea after see- ing a cue."
Ambush marketing,"In event mar- keting, a competitor advertises in such away that it steals visibility from the desig- nated sponsor."
Analogies,A statement that finds some point of similarity between two thingsthat are otherwise dissimilar.
Animatics,"Drawings or still pho- tos shot on videotape synchronized with arough version of an audio track. Animation (pp. 282, 312) A film or video technique in which objects or drawings are filmed one frame at a time."
Annual report,A financial docu- ment legally required of all publicly heldcompanies.
Answer print,"The finished ver- sion of the commercial, with the audio and video recorded together. Aperture (pp. 373, 433) The ideal moment for exposing consumers to an advertisingmessage."
Appeal,"An advertising approach that connects with some need, want, oremotion that makes the product message attractive, attention getting, or interesting."
Argument,"A cognitive strategy that uses logic, reasons, and proof to buildconvictions."
Art director,The person who is pri- marily responsible for the visual image ofthe advertisement.GLOSSARY 610
Association,"The process used to link a product with a positive experience,personality, or lifestyle."
Association tests,A way to check consumer perceptions by asking peoplewhat comes to mind when a word or brand is mentioned.
Attention,"Concentrating the mind on a thought or idea. Attitude (pp. 116, 145) A learned predis- position that we hold toward an object, per-son, or idea."
Attributes,A distinctive feature of a product.
Avatars,"A representation, charac- ter, or personality constructed by a com-puter user to serve or represent that person."
Average frequency,The average number of times an audience has an oppor-tunity to be exposed to a media vehicle orvehicles in a specified time span.
Aware publics,Those people who recognize the connection between a prob-lem and themselves or others but do notcommunicate about it.
Awareness,The degree to which a message has made an impression on theviewer or reader.
B Back translation,The practice of translating ad copy into a second language and then translating that version back into the original language to check the accuracyof the translation.
Bandwagon appeals,The idea that people respond to popular causes and ideasand want to join up or adopt a trendy view- point.
Bandwidth,"In electronic commu- nication, this is what governs the amountof digital information or data that can besent from one place to another in a given time."
Banner ad,"Small, often rectangular- shaped graphic that appears at the top of aWeb page."
Banners,See “banner ad.”
Behavioral targeting,The practice of identifying groups of people who might be in the market for a product based on theiractions—particularly the patterns of theironline behavior.
