Term,Related Terms
-D Television,[]
A Account executive,[]
Account management,['ad']
Account planner,"['ad', 'Strategy', 'market', 'rate', 'Brand', 'Market', 'Development', 'strategy']"
Account services,[]
Acquired needs,['Culture']
Active publics,[]
Ad allowances,"['ad', 'Local advertising', 'Advertising']"
Adaptation,['Localization']
Added value,"['ad', 'market', 'Advertising', 'Market', 'Appeal']"
Addressable media,"['Prospects', 'message', 'media', 'Message', 'Internet']"
Addressable television,['ad']
Adoption,"['Diffusion', 'Family']"
Adoption process,[]
Advertainment,"['ad', 'Advertising']"
Advertisement,"['Advocacy advertising', 'Art director', 'of communication', 'Painted outdoor bulletins', 'Campaign plan', 'Trailers', 'Recognition test', 'Receiver', 'Click fraud', 'Webisode', 'Intend-to-buy test', 'Message', 'Free association', 'Taglines', 'Exporting', 'Recall test', 'Effects', 'Media buyer', 'Attention', 'Persuasion test', 'Eye-tracking']"
Advertiser,"['Participant observation', 'In-house agency', 'Guaranteed circulation', 'one-bill', 'Source', 'Tie-ins', 'Tip-ins', 'Preferred positions', 'Advertising', 'M Make goods', 'Advertising agency', 'ad', 'Fee system', 'Channel of distribution', 'Consent decree', 'Offline advertising', 'Cease-and-desist order', 'Corrective advertising', 'Mental rehearsal']"
